timestamp,open,high,low,close,volume
2024-12-12 14:58:00,101505.7,101533.8,101451.3,101507.1,187.372
2024-12-12 14:59:00,101507.1,101688.0,101507.0,101666.6,157.106
2024-12-12 15:00:00,101666.6,101718.8,101560.6,101565.1,170.26
2024-12-12 15:01:00,101565.1,101673.1,101555.0,101567.4,227.848
2024-12-12 15:02:00,101567.4,101570.0,101497.0,101561.1,118.199
2024-12-12 15:03:00,101561.1,101570.0,101462.9,101518.1,201.96
2024-12-12 15:04:00,101518.1,101708.7,101518.1,101683.4,112.895
2024-12-12 15:05:00,101683.4,101708.5,101546.1,101546.1,128.255
2024-12-12 15:06:00,101546.1,101670.2,101520.5,101520.5,141.539
2024-12-12 15:07:00,101520.5,101526.9,101410.0,101455.0,217.437
2024-12-12 15:08:00,101455.0,101471.1,101336.0,101336.0,158.458
2024-12-12 15:09:00,101336.0,101372.4,101099.5,101126.5,250.089
2024-12-12 15:10:00,101126.5,101231.7,101076.0,101088.4,430.232
2024-12-12 15:11:00,101088.4,101177.6,101010.1,101010.1,371.123
2024-12-12 15:12:00,101010.1,101051.2,100851.1,100908.2,270.714
2024-12-12 15:13:00,100908.2,100957.6,100800.0,100873.8,464.275
2024-12-12 15:14:00,100873.8,100941.6,100775.5,100804.3,294.208
2024-12-12 15:15:00,100804.3,100876.8,100700.4,100772.1,315.932
2024-12-12 15:16:00,100772.1,100950.3,100707.9,100938.3,260.934
2024-12-12 15:17:00,100938.3,101071.1,100884.2,100908.4,217.068
2024-12-12 15:18:00,100908.4,100934.6,100863.9,100913.4,168.924
2024-12-12 15:19:00,100913.4,101080.0,100913.4,101079.7,153.559
2024-12-12 15:20:00,101079.7,101138.3,101000.0,101100.0,131.637
2024-12-12 15:21:00,101100.0,101100.0,100982.2,101049.6,285.108
2024-12-12 15:22:00,101049.6,101153.8,101049.6,101131.0,532.881
2024-12-12 15:23:00,101131.0,101290.1,101130.9,101284.0,198.599
2024-12-12 15:24:00,101284.0,101345.2,101284.0,101316.8,186.369
2024-12-12 15:25:00,101316.8,101432.0,101308.1,101419.9,199.414
2024-12-12 15:26:00,101419.9,101424.0,101368.2,101413.4,155.146
2024-12-12 15:27:00,101413.4,101424.4,101350.0,101378.4,128.718
2024-12-12 15:28:00,101378.4,101428.4,101290.0,101404.3,104.708
2024-12-12 15:29:00,101404.3,101450.0,101404.3,101449.9,169.544
2024-12-12 15:30:00,101449.9,101450.0,101324.1,101349.9,57.236
2024-12-12 15:31:00,101349.9,101409.0,101326.6,101408.9,110.924
2024-12-12 15:32:00,101408.9,101409.0,101334.6,101338.6,51.227
2024-12-12 15:33:00,101338.6,101348.8,101099.9,101138.9,389.383
2024-12-12 15:34:00,101138.9,101361.2,101130.4,101356.0,510.253
2024-12-12 15:35:00,101356.0,101384.8,101253.8,101254.1,71.938
2024-12-12 15:36:00,101254.1,101358.4,101238.5,101358.4,213.04
2024-12-12 15:37:00,101358.4,101500.0,101358.3,101418.8,642.114
2024-12-12 15:38:00,101418.8,101476.7,101395.2,101413.7,492.23
2024-12-12 15:39:00,101413.7,101424.2,101326.2,101424.2,37.626
2024-12-12 15:40:00,101424.2,101560.0,101423.9,101485.2,64.579
2024-12-12 15:41:00,101485.2,101560.1,101475.6,101560.0,107.292
2024-12-12 15:42:00,101560.0,101576.1,101485.4,101560.0,70.734
2024-12-12 15:43:00,101560.0,101603.2,101540.7,101603.0,85.564
2024-12-12 15:44:00,101603.0,101650.0,101575.1,101649.8,94.733
2024-12-12 15:45:00,101649.8,101650.0,101522.1,101586.4,121.351
2024-12-12 15:46:00,101586.4,101750.0,101586.4,101740.4,233.883
2024-12-12 15:47:00,101740.4,101850.2,101680.2,101735.8,511.613
2024-12-12 15:48:00,101735.8,101750.8,101624.4,101694.6,863.937
2024-12-12 15:49:00,101694.6,101780.6,101694.6,101736.6,513.873
2024-12-12 15:50:00,101736.6,101750.0,101476.0,101594.6,269.037
2024-12-12 15:51:00,101594.6,101594.8,101470.0,101470.0,546.594
2024-12-12 15:52:00,101470.0,101525.7,101452.3,101516.7,345.581
2024-12-12 15:53:00,101516.7,101646.0,101516.7,101586.1,93.515
2024-12-12 15:54:00,101586.1,101678.9,101550.0,101632.1,54.598
2024-12-12 15:55:00,101632.1,101688.0,101628.3,101665.9,62.225
2024-12-12 15:56:00,101665.9,101761.3,101665.9,101732.6,73.882
2024-12-12 15:57:00,101732.6,101770.0,101687.9,101713.7,154.361
2024-12-12 15:58:00,101713.7,101713.7,101592.7,101656.1,114.645
2024-12-12 15:59:00,101656.1,101775.4,101655.9,101775.2,108.685
2024-12-12 16:00:00,101775.2,102076.6,101773.5,101975.5,543.904
2024-12-12 16:01:00,101975.5,102243.3,101850.0,102017.5,1282.272
2024-12-12 16:02:00,102017.5,102300.0,102009.0,102250.0,688.657
2024-12-12 16:03:00,102250.0,102360.1,102029.3,102062.4,710.045
2024-12-12 16:04:00,102062.4,102252.1,102045.5,102223.9,590.321
2024-12-12 16:05:00,102223.9,102379.0,102090.2,102378.7,683.643
2024-12-12 16:06:00,102378.7,102402.9,102300.0,102302.9,615.837
2024-12-12 16:07:00,102302.9,102361.1,102213.3,102221.4,489.729
2024-12-12 16:08:00,102221.4,102264.2,102095.5,102112.2,361.537
2024-12-12 16:09:00,102112.2,102355.0,102095.5,102350.0,333.048
2024-12-12 16:10:00,102350.0,102367.6,102200.9,102205.9,455.179
2024-12-12 16:11:00,102205.9,102254.1,102172.2,102204.9,171.071
2024-12-12 16:12:00,102204.9,102320.6,102198.6,102269.4,195.122
2024-12-12 16:13:00,102269.4,102310.0,102226.8,102309.9,238.122
2024-12-12 16:14:00,102309.9,102329.6,102259.0,102326.0,125.318
2024-12-12 16:15:00,102326.0,102488.0,102294.9,102479.4,177.272
2024-12-12 16:16:00,102479.4,102539.2,102365.5,102450.2,455.962
2024-12-12 16:17:00,102450.2,102466.2,102284.2,102331.7,476.134
2024-12-12 16:18:00,102331.7,102438.2,102216.8,102438.2,186.368
2024-12-12 16:19:00,102438.2,102483.5,102410.0,102476.7,170.485
2024-12-12 16:20:00,102476.7,102476.7,102351.7,102397.1,154.312
2024-12-12 16:21:00,102397.1,102476.6,102335.7,102453.8,107.021
2024-12-12 16:22:00,102453.8,102464.7,102366.4,102367.7,121.478
2024-12-12 16:23:00,102367.7,102384.8,102219.0,102229.6,144.492
2024-12-12 16:24:00,102229.6,102233.6,102171.7,102185.2,151.132
2024-12-12 16:25:00,102185.2,102337.2,102180.0,102271.6,178.764
2024-12-12 16:26:00,102271.6,102284.9,102064.9,102089.3,172.504
2024-12-12 16:27:00,102089.3,102089.6,101996.8,102080.1,200.938
2024-12-12 16:28:00,102080.1,102080.1,101859.9,101917.2,351.181
2024-12-12 16:29:00,101917.2,101922.3,101806.9,101846.5,498.577
2024-12-12 16:30:00,101846.5,101865.0,101672.0,101687.2,308.748
2024-12-12 16:31:00,101687.2,101855.2,101685.4,101792.4,393.494
2024-12-12 16:32:00,101792.4,101918.1,101779.0,101896.5,238.001
2024-12-12 16:33:00,101896.5,101969.9,101778.0,101811.6,180.604
2024-12-12 16:34:00,101811.6,101840.1,101752.0,101752.0,192.078
2024-12-12 16:35:00,101752.0,101767.9,101629.6,101642.3,173.702
2024-12-12 16:36:00,101642.3,101642.3,101446.4,101514.6,262.862
2024-12-12 16:37:00,101514.6,101645.1,101483.1,101594.6,430.389
2024-12-12 16:38:00,101594.6,101633.0,101530.1,101630.2,144.219
2024-12-12 16:39:00,101630.2,101725.7,101621.8,101666.2,69.13
2024-12-12 16:40:00,101666.2,101721.1,101635.4,101721.1,87.619
2024-12-12 16:41:00,101721.1,101775.0,101672.0,101772.1,95.554
2024-12-12 16:42:00,101772.1,101886.2,101772.0,101850.2,156.082
2024-12-12 16:43:00,101850.2,101905.4,101823.6,101905.4,120.621
2024-12-12 16:44:00,101905.4,102067.2,101905.4,102002.1,158.908
2024-12-12 16:45:00,102002.1,102075.3,101983.3,102053.2,297.262
2024-12-12 16:46:00,102053.2,102053.2,101874.9,101874.9,149.346
2024-12-12 16:47:00,101874.9,101876.7,101763.3,101781.7,158.202
2024-12-12 16:48:00,101781.7,101820.0,101767.7,101816.6,119.973
2024-12-12 16:49:00,101816.6,101828.1,101782.1,101823.7,63.716
2024-12-12 16:50:00,101823.7,101823.7,101650.0,101655.4,74.123
2024-12-12 16:51:00,101655.4,101733.6,101649.3,101661.9,86.024
2024-12-12 16:52:00,101661.9,101688.4,101560.0,101663.1,66.253
2024-12-12 16:53:00,101663.1,101686.7,101579.8,101586.3,118.588
2024-12-12 16:54:00,101586.3,101667.7,101586.3,101600.3,93.632
2024-12-12 16:55:00,101600.3,101675.5,101581.0,101592.7,52.583
2024-12-12 16:56:00,101592.7,101593.0,101547.1,101551.2,55.112
2024-12-12 16:57:00,101551.2,101554.5,101505.5,101546.4,52.583
2024-12-12 16:58:00,101546.4,101547.1,101472.1,101480.6,71.642
2024-12-12 16:59:00,101480.6,101525.5,101456.0,101457.1,97.077
2024-12-12 17:00:00,101457.1,101457.2,101379.0,101434.0,137.748
2024-12-12 17:01:00,101434.0,101447.4,101387.8,101393.1,157.341
2024-12-12 17:02:00,101393.1,101528.5,101388.7,101520.4,78.09
2024-12-12 17:03:00,101520.4,101520.4,101400.1,101438.9,101.373
2024-12-12 17:04:00,101438.9,101488.7,101400.0,101488.7,44.4
2024-12-12 17:05:00,101488.7,101528.8,101410.0,101410.1,51.216
2024-12-12 17:06:00,101410.1,101439.3,101320.0,101325.9,105.502
2024-12-12 17:07:00,101325.9,101400.2,101320.0,101400.0,156.299
2024-12-12 17:08:00,101400.0,101520.0,101400.0,101513.8,55.961
2024-12-12 17:09:00,101513.8,101653.1,101513.8,101573.6,112.051
2024-12-12 17:10:00,101573.6,101651.0,101542.7,101621.7,155.007
2024-12-12 17:11:00,101621.7,101679.4,101611.6,101643.6,108.134
2024-12-12 17:12:00,101643.6,101680.0,101588.0,101634.8,45.688
2024-12-12 17:13:00,101634.8,101645.2,101506.9,101507.2,54.958
2024-12-12 17:14:00,101507.2,101571.3,101494.5,101563.3,48.264
2024-12-12 17:15:00,101563.3,101652.2,101561.0,101634.6,30.651
2024-12-12 17:16:00,101634.6,101652.2,101579.8,101637.2,53.015
2024-12-12 17:17:00,101637.2,101686.9,101637.2,101681.1,35.154
2024-12-12 17:18:00,101681.1,101695.0,101640.1,101642.0,64.903
2024-12-12 17:19:00,101642.0,101642.3,101500.3,101500.3,23.987
2024-12-12 17:20:00,101500.3,101584.3,101449.7,101584.3,31.37
2024-12-12 17:21:00,101584.3,101586.5,101543.8,101550.0,60.376
2024-12-12 17:22:00,101550.0,101550.0,101420.5,101423.7,59.579
2024-12-12 17:23:00,101423.7,101457.5,101370.0,101389.8,43.061
2024-12-12 17:24:00,101389.8,101426.4,101305.0,101305.0,85.711
2024-12-12 17:25:00,101305.0,101305.0,101211.0,101216.0,196.203
2024-12-12 17:26:00,101216.0,101353.0,101211.1,101266.1,274.862
2024-12-12 17:27:00,101266.1,101384.3,101256.6,101370.3,79.335
