time,open,high,low,close,volume
2024-12-12 18:09:00+09:00,2.4392,2.4433,2.4392,2.4425,474737.4
2024-12-12 18:10:00+09:00,2.4426,2.4452,2.4407,2.4407,1623071.5
2024-12-12 18:11:00+09:00,2.4407,2.4425,2.4393,2.4424,368475.1
2024-12-12 18:12:00+09:00,2.4425,2.4450,2.4418,2.4439,371248.3
2024-12-12 18:13:00+09:00,2.4439,2.4449,2.4431,2.4447,417932.7
2024-12-12 18:14:00+09:00,2.4448,2.4448,2.4411,2.4413,346138.7
2024-12-12 18:15:00+09:00,2.4414,2.4475,2.4411,2.4462,612863.4
2024-12-12 18:16:00+09:00,2.4463,2.4469,2.4441,2.4457,346326.9
2024-12-12 18:17:00+09:00,2.4457,2.4488,2.4450,2.4468,867201.3
2024-12-12 18:18:00+09:00,2.4467,2.4484,2.4448,2.4483,953293.3
2024-12-12 18:19:00+09:00,2.4484,2.4507,2.4438,2.4438,1341595.6
2024-12-12 18:20:00+09:00,2.4438,2.4439,2.4369,2.4380,2210983.4
2024-12-12 18:21:00+09:00,2.4380,2.4424,2.4374,2.4384,672352.3
2024-12-12 18:22:00+09:00,2.4384,2.4415,2.4382,2.4395,334476.1
2024-12-12 18:23:00+09:00,2.4394,2.4405,2.4372,2.4381,369132.1
2024-12-12 18:24:00+09:00,2.4382,2.4453,2.4373,2.4445,1550706.8
2024-12-12 18:25:00+09:00,2.4443,2.4450,2.4392,2.4395,811743.4
2024-12-12 18:26:00+09:00,2.4395,2.4404,2.4378,2.4398,473887.9
2024-12-12 18:27:00+09:00,2.4398,2.4401,2.4357,2.4367,553168.0
2024-12-12 18:28:00+09:00,2.4367,2.4380,2.4355,2.4368,1377661.2
2024-12-12 18:29:00+09:00,2.4369,2.4388,2.4368,2.4374,304861.4
2024-12-12 18:30:00+09:00,2.4374,2.4378,2.4323,2.4326,781870.3
2024-12-12 18:31:00+09:00,2.4325,2.4334,2.4300,2.4332,1251952.0
2024-12-12 18:32:00+09:00,2.4333,2.4348,2.4291,2.4296,836433.3
2024-12-12 18:33:00+09:00,2.4296,2.4325,2.4288,2.4314,578736.9
2024-12-12 18:34:00+09:00,2.4314,2.4339,2.4302,2.4316,823786.9
2024-12-12 18:35:00+09:00,2.4316,2.4340,2.4307,2.4315,361266.3
2024-12-12 18:36:00+09:00,2.4314,2.4337,2.4308,2.4315,531837.2
