time,open,high,low,close,volume,sma7,sma25,sma99,wma7,wma25,wma99,ema7,ema25,ema99,macd,macd_s,macd_d,rsi6,rsi12,rsi24,srsi,srsik,srsid,bh,bhi,bl,bli,bm,bw,vwap7
2024-12-12 19:21:00+09:00,2.4003,2.4027,2.3991,2.4023,785950.1,2.397414285714286,2.401996,2.4258656565656564,2.3991392857142855,2.3985443076923083,2.418681313131313,2.399053538004194,2.4033031128440774,2.41992348667048,-0.004601724725276757,-0.006242216624457217,0.0016404918991804601,60.056222060719165,49.66233783801998,43.664342675907996,1.0,0.9498561394335381,0.9505161555882417,2.4063036494896557,0.0,2.3899963505103448,0.0,2.3981500000000002,0.6799949535813412,2.3967180196381688
2024-12-12 19:22:00+09:00,2.4023,2.4051,2.3996,2.4005,1174568.4,2.3985714285714286,2.400896,2.4255464646464646,2.3999107142857143,2.3984292307692305,2.418174,2.3994151535031456,2.4030874887791485,2.4195350169370706,-0.0041477933774531905,-0.005823331975056412,0.001675538597603221,54.212071339659545,47.27929795080581,42.51530210271688,0.9300993695830574,0.9747197413969085,0.9581440067546616,2.405149452034239,0.0,2.390550547965761,0.0,2.39785,0.608833082489655,2.397155273238035
2024-12-12 19:23:00+09:00,2.4005,2.401,2.3982,2.4003,969168.9,2.3998714285714287,2.399996,2.4252363636363636,2.400342857142857,2.398383384615385,2.417669070707071,2.399636365127359,2.402873066565368,2.419150316598329,-0.00376083527442983,-0.0054108326349310955,0.0016499973605012654,53.51768770499498,47.00589541829595,42.38598035471417,0.8689414277681394,0.9330135991170656,0.9525298266491707,2.404595940601695,0.0,2.3907740593983053,0.0,2.397685,0.5764677680091193,2.397584707010804
2024-12-12 19:24:00+09:00,2.4004,2.4055,2.3992,2.4044,1021514.7,2.4009285714285715,2.399424,2.4249464646464647,2.4014749999999996,2.398722153846154,2.4172523434343436,2.400827273845519,2.4029905229834165,2.4188553102663626,-0.0030877389227796925,-0.004946213892500815,0.0018584749697211226,64.65473033719735,53.074425811400424,45.90575323989749,1.0,0.9330135991170656,0.94691564654368,2.4046676394855178,0.0,2.3907323605144812,0.0,2.3976999999999995,0.5811936009941413,2.3978451924136457
2024-12-12 19:25:00+09:00,2.4045,2.4083,2.4027,2.4072,1379514.7,2.4017714285714287,2.3991919999999998,2.424717171717172,2.4030428571428573,2.399320307692308,2.416897414141414,2.4024204553841395,2.4033143289077694,2.4186222040610352,-0.002301834500002098,-0.004417338014001072,0.002115503513998974,70.45581934299187,56.76312316441194,48.16252622269137,1.0,0.9563138092560465,0.9407803358300592,2.406272101824953,1.0,2.3900578981750464,0.0,2.3981649999999997,0.6761087602356988,2.3982107835396342
2024-12-12 19:26:00+09:00,2.4073,2.4118,2.4065,2.4106,1611642.9,2.4036571428571425,2.3994400000000002,2.4244969696969694,2.40525,2.400197846153846,2.4166150707070706,2.4044653415381045,2.4038747651456336,2.4184617599798144,-0.0013886406132104234,-0.0038115985338429423,0.002422957920632519,76.15781004690359,60.84074797482933,50.76516316850807,1.0,1.0,0.9631091361243707,2.4085707251145996,1.0,2.3891592748854,0.0,2.398865,0.8091931071235583,2.3994821213139144
2024-12-12 19:27:00+09:00,2.4106,2.4141,2.4077,2.4083,1446924.3,2.4048000000000003,2.399512,2.4242373737373737,2.4064107142857143,2.4008793846153846,2.4162911313131312,2.4054240061535785,2.404215167826739,2.418258524780218,-0.000840826136514039,-0.003217444054377162,0.002376617917863123,65.84232040126301,56.881936670260714,49.027591814108895,0.8803435026301506,0.9601145008767169,0.9721427700442544,2.4098379920062443,0.0,2.3893220079937554,0.0,2.39958,0.8549822890876272,2.40036490731583
2024-12-12 19:28:00+09:00,2.4083,2.4085,2.4063,2.4064,598222.4,2.405385714285714,2.3996239999999998,2.423979797979798,2.4068107142857142,2.401409230769231,2.4159343838383838,2.405668004615184,2.404383231840067,2.4180213542846136,-0.000553611647517549,-0.0026846775730052395,0.0021310659254876905,58.04813578951846,53.731206748008994,47.62252036647075,0.7846079986341731,0.8883171670881079,0.9494772226549416,2.410586965299031,0.0,2.389723034700969,0.0,2.400155,0.869274300953981,2.4006796666288777
2024-12-12 19:29:00+09:00,2.4064,2.4087,2.4059,2.4087,545755.7,2.406557142857143,2.3998079999999997,2.423766666666667,2.4076392857142856,2.402107384615385,2.415628787878788,2.4064260034613882,2.4047152909292926,2.4178349271989212,-0.00013880130260623957,-0.0021755023189254396,0.0020367010163192,64.20359496117085,56.88496460761534,49.45237358711381,0.8871495482946542,0.8507003498529926,0.8997106726059392,2.411350482614251,0.0,2.3906295173857486,0.0,2.4009899999999997,0.8630175564455624,2.4017464733666247
2024-12-12 19:30:00+09:00,2.4088,2.4101,2.4066,2.4067,695537.1,2.4074714285714287,2.40016,2.4235181818181815,2.4076750000000002,2.4026375384615384,2.4152874545454543,2.406494502596041,2.4048679608578087,2.4176122286549426,2.8230179049515414e-05,-0.0017347558193304487,0.001762985998379964,55.67882517609509,53.43020574050826,47.93290755087019,0.6743389735957308,0.782032173508186,0.8403498968164289,2.4119598626106775,0.0,2.390670137389322,0.0,2.401315,0.8865861089176266,2.4031422488094054
2024-12-12 19:31:00+09:00,2.4066,2.4067,2.4017,2.4052,1246916.5,2.4075857142857138,2.4005039999999997,2.423260606060606,2.407107142857143,2.403025230769231,2.41492109090909,2.406170876947031,2.4048935023302853,2.417363984081844,3.911546890433826e-05,-0.0013799815616834913,0.0014190970305878296,49.73546554404291,50.90093215801807,46.807362975431744,0.5098566188743411,0.6904483802549087,0.7743936345386957,2.412341024272735,0.0,2.390958975727265,0.0,2.40165,0.8903066036046001,2.40396010646852
2024-12-12 19:32:00+09:00,2.4052,2.4077,2.4032,2.4032,616135.3,2.4070142857142858,2.400872,2.423012121212121,2.4060107142857143,2.4032326153846157,2.414519878787879,2.405428157710273,2.4047632329202635,2.417080704400207,-0.0001123460899719042,-0.001126454467341174,0.0010141083773692698,42.480268915640046,47.6219190596297,45.32653837405275,0.34285496288498446,0.5090168517850188,0.6604991351827044,2.412352982109953,0.0,2.3917270178900467,0.0,2.40204,0.858685293330106,2.4045171670086467
2024-12-12 19:33:00+09:00,2.4032,2.4114,2.4032,2.4105,736438.0,2.407,2.401496,2.4228252525252527,2.4068821428571425,2.403973230769231,2.4142696363636365,2.4066961182827047,2.405204522695628,2.416949090312203,0.0003526039261791958,-0.0008306427886371001,0.0011832467148162958,64.90421595878608,58.31452566343845,51.2059344922959,0.886315789080436,0.5796757902799204,0.5930470074399493,2.4134616542860092,0.0,2.3916983457139906,0.0,2.40258,0.9058307557716531,2.405289409632803
2024-12-12 19:34:00+09:00,2.4104,2.4104,2.4064,2.4073,494303.4,2.4068571428571426,2.4021079999999997,2.4225767676767678,2.4069571428571432,2.4044196923076924,2.4139591313131312,2.406847088712029,2.405365713257503,2.416756108505959,0.00045759207072837427,-0.0005729958167640053,0.0010305878874923794,53.859260632495904,53.12803675860582,48.80525986301181,0.5335688045360494,0.5875798521671566,0.5587574980773652,2.413885045034559,0.0,2.392234954965441,0.0,2.40306,0.900938389766284,2.405782015015086
2024-12-12 19:35:00+09:00,2.4073,2.4074,2.3999,2.4016,1065546.2,2.4061714285714286,2.402164,2.422251515151515,2.405642857142857,2.4043806153846154,2.413539595959596,2.4055353165340216,2.4050760430069262,2.4164529863358397,7.993216038082451e-05,-0.00044241022133503934,0.0005223423817158639,39.49364124463054,45.299147145355676,44.89323015295754,0.0,0.47329486453882835,0.5468501689953018,2.4132171335971115,0.0,2.393822866402888,0.0,2.40352,0.8069109969637583,2.4058165947256698
2024-12-12 19:36:00+09:00,2.4016,2.404,2.4005,2.4018,1017901.2,2.4051857142857145,2.402296,2.4219010101010103,2.40455,2.4043526153846155,2.4131305656565654,2.4046014874005164,2.4048240396987013,2.4161599266091227,-0.00020091172562164417,-0.00039411052219236035,0.00019319879657071618,40.165613277987156,45.60595850199959,45.05448260518707,0.02104522446569878,0.1848713430005827,0.41524868656885583,2.4119964457463854,0.0,2.396103554253615,0.0,2.4040500000000002,0.6610882258176947,2.405891931601541
2024-12-12 19:37:00+09:00,2.4018,2.405,2.4005,2.4012,590475.4,2.4044,2.4025279999999998,2.421580808080808,2.403553571428571,2.404268307692308,2.412716545454545,2.4037511155503872,2.404545267414186,2.4158607280769404,-0.0004665197647906183,-0.00040859237071201197,-5.7927394078606325e-05,38.62149090298451,44.78388822461749,44.64551970122352,0.0,0.007015074821899556,0.22172709412043687,2.4116528073152383,0.0,2.3968671926847613,0.0,2.40426,0.6149756944122935,2.4061759709108586
2024-12-12 19:38:00+09:00,2.4013,2.4018,2.4,2.401,370502.8,2.4038,2.40258,2.421247474747475,2.4027035714285714,2.4041507692307693,2.4123049292929295,2.4030633366627905,2.404272554536172,2.4155635135154014,-0.0006852551827747355,-0.0004639249331245567,-0.00022133024965017884,38.03658126112375,44.49225361076425,44.50500656421619,0.0,0.007015074821899556,0.06630049754812727,2.4116629444592315,0.0,2.3968270555407685,0.0,2.404245,0.6170705946549954,2.4062780857127026
