timestamp,open,high,low,close,volume,turnover
2025-01-17 20:43:00,104951.7,104951.7,104841.1,104899.0,261.704,27446772.5648
2025-01-17 20:44:00,104899.0,105041.7,104892.1,104977.4,247.985,26031181.1664
2025-01-17 20:45:00,104977.4,105009.4,104958.2,104958.2,169.014,17745666.0837
2025-01-17 20:46:00,104958.2,104958.2,104855.0,104855.1,79.485,8336408.5406
2025-01-17 20:47:00,104855.1,104856.0,104797.4,104822.1,92.542,9700431.3193
2025-01-17 20:48:00,104822.1,104888.2,104811.5,104867.6,152.296,15968247.2727
2025-01-17 20:49:00,104867.6,104929.7,104832.9,104870.2,64.229,6735492.3365
2025-01-17 20:50:00,104870.2,104910.8,104841.2,104853.6,55.593,5831134.2596
2025-01-17 20:51:00,104853.6,104860.2,104757.4,104781.6,88.904,9314839.9513
2025-01-17 20:52:00,104781.6,104878.6,104763.5,104831.6,101.261,10611880.6011
2025-01-17 20:53:00,104831.6,104898.1,104826.1,104826.1,71.008,7445920.2239
2025-01-17 20:54:00,104826.1,104967.1,104826.1,104905.5,59.865,6281624.1591
2025-01-17 20:55:00,104905.5,104905.5,104757.4,104825.0,105.805,11088706.6607
2025-01-17 20:56:00,104825.0,104825.8,104639.0,104662.9,189.697,19863272.0648
2025-01-17 20:57:00,104662.9,104662.9,104506.3,104527.0,429.206,44886046.347
2025-01-17 20:58:00,104527.0,104601.0,104500.1,104583.6,487.634,50974793.9797
2025-01-17 20:59:00,104583.6,104806.6,104570.4,104665.9,171.227,17930523.339
2025-01-17 21:00:00,104665.9,104728.4,104575.6,104652.2,224.181,23458142.4765
2025-01-17 21:01:00,104652.2,104652.2,104541.3,104549.9,114.008,11921343.7369
2025-01-17 21:02:00,104549.9,104602.6,104549.8,104600.0,122.987,12862606.6821
2025-01-17 21:03:00,104600.0,104630.1,104552.5,104623.4,48.252,5047446.0269
2025-01-17 21:04:00,104623.4,104677.5,104555.1,104652.5,90.176,9434557.9205
2025-01-17 21:05:00,104652.5,104837.2,104652.5,104787.3,135.384,14185282.5003
2025-01-17 21:06:00,104787.3,104794.4,104678.0,104678.3,201.356,21083804.8299
2025-01-17 21:07:00,104678.3,104704.0,104672.3,104701.3,62.136,6504798.0542
2025-01-17 21:08:00,104701.3,104701.3,104608.7,104621.1,62.408,6531500.2327
2025-01-17 21:09:00,104621.1,104642.2,104534.0,104563.8,99.045,10357327.1228
2025-01-17 21:10:00,104563.8,104607.2,104540.8,104594.4,74.529,7795112.4437
2025-01-17 21:11:00,104594.4,104662.2,104594.4,104620.1,32.613,3412371.3032
2025-01-17 21:12:00,104620.1,104672.8,104619.8,104672.5,44.366,4642671.6729
2025-01-17 21:13:00,104672.5,104699.3,104650.3,104699.2,50.149,5249871.85
2025-01-17 21:14:00,104699.2,104754.4,104679.6,104738.6,25.368,2656140.3533
2025-01-17 21:15:00,104738.6,104800.2,104710.4,104789.6,40.457,4238622.1039
2025-01-17 21:16:00,104789.6,104819.1,104718.0,104718.3,89.053,9328499.4413
2025-01-17 21:17:00,104718.3,104720.0,104671.5,104715.4,79.337,8305806.5777
2025-01-17 21:18:00,104715.4,104721.7,104689.4,104689.4,56.914,5959030.5175
2025-01-17 21:19:00,104689.4,104718.7,104668.2,104715.6,26.875,2813596.0768
2025-01-17 21:20:00,104715.6,104718.7,104700.3,104710.1,34.792,3643058.0711
